epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2862,4.09102,3.21712,3.63486,0,0,0,0,4.78076,4.05731,3.1305,0.000412037,0.000412037,0.000412037
2,34.4001,2.00864,1.45145,1.98875,0.7906,0.60191,0.56423,0.3777,1.28818,1.18853,1.3843,0.0008205,0.0008205,0.0008205
3,49.1999,1.63053,1.17355,1.53736,0.72492,0.77401,0.74069,0.5167,1.05514,0.89946,1.16876,0.00122071,0.00122071,0.00122071
4,64.1637,1.48014,1.06544,1.395,0.72305,0.76073,0.75745,0.53361,0.95295,0.86974,1.09853,0.00121287,0.00121287,0.00121287
5,79.6011,1.34663,0.96124,1.30296,0.77758,0.89777,0.8531,0.6432,0.85616,0.73076,1.04481,0.0012005,0.0012005,0.0012005
6,94.7479,1.2867,0.90485,1.25002,0.76137,0.94167,0.83934,0.67171,0.80756,0.73732,1.01865,0.00118812,0.00118812,0.00118812
7,109.626,1.23264,0.84109,1.21111,0.79507,0.91562,0.83475,0.64741,0.80738,0.70096,1.00746,0.00117575,0.00117575,0.00117575
8,124.391,1.18215,0.79716,1.18053,0.85333,0.925,0.91572,0.72305,0.78241,0.6215,0.99253,0.00116337,0.00116337,0.00116337
9,139.292,1.15116,0.76737,1.1517,0.81278,0.92917,0.9005,0.73099,0.78665,0.6392,0.98973,0.001151,0.001151,0.001151
10,154.114,1.07697,0.71408,1.11637,0.84721,0.92095,0.91368,0.71808,0.87081,0.62898,0.9954,0.00113863,0.00113863,0.00113863
11,169.007,1.06143,0.68152,1.10258,0.88062,0.90616,0.89931,0.73981,0.72809,0.57719,0.95745,0.00112625,0.00112625,0.00112625
12,183.733,1.04339,0.66716,1.08897,0.86781,0.95887,0.92456,0.76153,0.71471,0.51998,0.94612,0.00111388,0.00111388,0.00111388
13,198.725,1.05541,0.6519,1.08499,0.84408,0.97964,0.96311,0.80227,0.70365,0.49109,0.94483,0.0011015,0.0011015,0.0011015
14,213.6,1.00655,0.62335,1.06895,0.93744,0.92007,0.94203,0.75984,0.79725,0.54459,0.9643,0.00108913,0.00108913,0.00108913
