epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2339.32,1.03178,0.65644,1.03789,0.91172,0.93607,0.95094,0.75442,0.73432,0.43741,0.9105,0.005743,0.005743,0.005743
45,2391.27,1.0299,0.64652,1.04118,0.91095,0.92153,0.95058,0.76725,0.71227,0.44194,0.90867,0.005644,0.005644,0.005644
46,2443.07,1.02278,0.6438,1.03829,0.9002,0.91841,0.94862,0.76171,0.71063,0.44262,0.90279,0.005545,0.005545,0.005545
47,2494.99,1.02256,0.64102,1.0357,0.9186,0.92195,0.95665,0.76891,0.71272,0.42404,0.90353,0.005446,0.005446,0.005446
48,2546.67,1.01469,0.63297,1.03573,0.92126,0.92184,0.95464,0.75941,0.71912,0.4297,0.90956,0.005347,0.005347,0.005347
49,2598.45,1.01228,0.62738,1.02979,0.89891,0.92839,0.95437,0.77335,0.72338,0.42597,0.90774,0.005248,0.005248,0.005248
50,2650.59,1.01605,0.62579,1.02945,0.90834,0.9211,0.95765,0.76991,0.71619,0.41353,0.90881,0.005149,0.005149,0.005149
51,2702.44,1.00973,0.62177,1.02693,0.92604,0.92689,0.95693,0.77542,0.70166,0.41735,0.90246,0.00505,0.00505,0.00505
52,2754.62,1.00593,0.62125,1.02925,0.90854,0.92266,0.94508,0.77201,0.70505,0.41916,0.90123,0.004951,0.004951,0.004951
53,2806.86,1.00486,0.62151,1.02573,0.9149,0.92975,0.95112,0.77007,0.7066,0.41491,0.90189,0.004852,0.004852,0.004852
54,2858.92,1.00237,0.61037,1.02508,0.92394,0.92542,0.95117,0.77457,0.71398,0.40924,0.90162,0.004753,0.004753,0.004753
55,2911.17,1.00372,0.60885,1.02232,0.91904,0.92495,0.95582,0.77966,0.69688,0.41064,0.89721,0.004654,0.004654,0.004654
56,2963.53,0.99466,0.60626,1.02423,0.92036,0.91642,0.95485,0.77523,0.71361,0.40978,0.90292,0.004555,0.004555,0.004555
57,3015.8,0.99698,0.60306,1.02196,0.91623,0.93368,0.95516,0.77313,0.6995,0.40503,0.90003,0.004456,0.004456,0.004456
58,3067.98,0.98752,0.59492,1.01753,0.92633,0.92525,0.96441,0.77981,0.70244,0.4118,0.90103,0.004357,0.004357,0.004357
59,3120.04,0.98677,0.5924,1.01823,0.92062,0.9294,0.95325,0.77509,0.71264,0.40779,0.90417,0.004258,0.004258,0.004258
60,3172.17,0.98935,0.58806,1.02204,0.91346,0.92911,0.95805,0.77593,0.70958,0.40379,0.90181,0.004159,0.004159,0.004159
61,3224.83,0.97764,0.59165,1.0152,0.91431,0.94607,0.95401,0.78103,0.69166,0.40164,0.89769,0.00406,0.00406,0.00406
62,3277.03,0.97957,0.58275,1.0179,0.91921,0.93537,0.95864,0.78356,0.68492,0.39626,0.8942,0.003961,0.003961,0.003961
63,3329.01,0.97774,0.58255,1.01586,0.91438,0.93544,0.96036,0.78544,0.68501,0.3961,0.89535,0.003862,0.003862,0.003862
64,3381.03,0.98217,0.58156,1.00737,0.93451,0.92544,0.96541,0.78472,0.69531,0.38837,0.89781,0.003763,0.003763,0.003763
65,3432.94,0.97544,0.58068,1.01502,0.91148,0.93625,0.96438,0.78848,0.68352,0.38629,0.89614,0.003664,0.003664,0.003664
66,3484.63,0.97374,0.57004,1.01408,0.93242,0.92837,0.96104,0.79215,0.68107,0.38168,0.89607,0.003565,0.003565,0.003565
67,3536.57,0.96992,0.57213,1.01697,0.92239,0.93369,0.95856,0.78832,0.67828,0.38364,0.89451,0.003466,0.003466,0.003466
68,3588.47,0.9684,0.56704,1.00862,0.91898,0.94129,0.95729,0.78355,0.67347,0.38439,0.89408,0.003367,0.003367,0.003367
69,3640.4,0.96239,0.56625,1.01162,0.92789,0.93886,0.95808,0.78842,0.68418,0.38815,0.8985,0.003268,0.003268,0.003268
70,3692.42,0.95884,0.5625,1.00273,0.93003,0.94023,0.95773,0.78372,0.68216,0.38348,0.89721,0.003169,0.003169,0.003169
71,3744.26,0.96231,0.56296,1.0075,0.92222,0.93949,0.96156,0.78714,0.6743,0.38591,0.89347,0.00307,0.00307,0.00307
72,3796.09,0.95372,0.55239,1.00893,0.92616,0.93572,0.95919,0.77709,0.68538,0.38245,0.89681,0.002971,0.002971,0.002971
73,3847.95,0.94948,0.54998,1.00775,0.92536,0.93568,0.95905,0.77588,0.68527,0.38206,0.89579,0.002872,0.002872,0.002872
74,3899.8,0.95268,0.55297,1.00651,0.92902,0.93193,0.95858,0.78027,0.68248,0.38084,0.89401,0.002773,0.002773,0.002773
75,3951.81,0.95346,0.54746,1.00461,0.92667,0.92854,0.959,0.78127,0.6778,0.37936,0.89186,0.002674,0.002674,0.002674
76,4004.18,0.94433,0.54365,0.99948,0.93395,0.92505,0.96334,0.78651,0.67393,0.38152,0.88977,0.002575,0.002575,0.002575
77,4056.44,0.94681,0.54194,1.00198,0.93194,0.92629,0.96181,0.78594,0.66968,0.37714,0.89002,0.002476,0.002476,0.002476
78,4108.56,0.94333,0.53989,0.99841,0.93318,0.92499,0.95882,0.78127,0.66908,0.37943,0.89106,0.002377,0.002377,0.002377
79,4160.73,0.94336,0.53892,0.9989,0.93378,0.92695,0.9593,0.78218,0.67196,0.37561,0.89047,0.002278,0.002278,0.002278
80,4212.99,0.93478,0.53585,0.99804,0.93174,0.92934,0.96178,0.7856,0.6673,0.37106,0.88912,0.002179,0.002179,0.002179
81,4265.02,0.93735,0.53213,0.99939,0.92602,0.93476,0.96327,0.78353,0.66915,0.3726,0.88995,0.00208,0.00208,0.00208
82,4317.38,0.92804,0.52862,0.99492,0.9247,0.93464,0.96294,0.78611,0.6698,0.37418,0.88953,0.001981,0.001981,0.001981
83,4369.69,0.92769,0.52158,0.99452,0.92489,0.93657,0.96105,0.78852,0.67259,0.37422,0.88987,0.001882,0.001882,0.001882
84,4422.04,0.93315,0.52572,0.99445,0.92901,0.93424,0.95813,0.79071,0.67373,0.37491,0.8905,0.001783,0.001783,0.001783
85,4474.25,0.92524,0.51909,0.99392,0.93522,0.93223,0.95858,0.79095,0.66998,0.37448,0.89,0.001684,0.001684,0.001684
86,4526.29,0.92676,0.51977,0.99417,0.93578,0.93211,0.95836,0.79014,0.66894,0.37358,0.88959,0.001585,0.001585,0.001585
87,4579.88,0.92396,0.51482,0.99239,0.93511,0.93152,0.95645,0.7862,0.66719,0.37378,0.88964,0.001486,0.001486,0.001486
88,4633.39,0.92367,0.51621,0.99138,0.93475,0.93147,0.95684,0.78494,0.66733,0.37191,0.88955,0.001387,0.001387,0.001387
89,4686.54,0.91518,0.5089,0.99278,0.93478,0.93184,0.96041,0.78713,0.66581,0.37235,0.88896,0.001288,0.001288,0.001288
90,4739.12,0.91638,0.50848,0.98752,0.93412,0.93341,0.96033,0.78842,0.66913,0.37528,0.88927,0.001189,0.001189,0.001189
91,4813.21,0.92482,0.4644,1.03164,0.93445,0.93271,0.96106,0.79341,0.6709,0.37511,0.8893,0.00109,0.00109,0.00109
92,4865.21,0.90276,0.45369,1.0182,0.93455,0.93332,0.96179,0.7946,0.67095,0.37575,0.88988,0.000991,0.000991,0.000991
93,4917.46,0.89866,0.44896,1.01415,0.93416,0.93424,0.96168,0.79327,0.67088,0.37292,0.88962,0.000892,0.000892,0.000892
94,4969.88,0.89223,0.44366,1.00912,0.93285,0.9356,0.96163,0.78916,0.67291,0.37267,0.8901,0.000793,0.000793,0.000793
95,5022.28,0.88391,0.4413,1.008,0.93274,0.93587,0.96416,0.78965,0.6743,0.37347,0.89048,0.000694,0.000694,0.000694
96,5074.64,0.87632,0.43696,1.00089,0.93171,0.93663,0.96385,0.79237,0.67364,0.37448,0.89015,0.000595,0.000595,0.000595
97,5126.92,0.88155,0.43864,1.01007,0.93192,0.9373,0.96374,0.78836,0.673,0.37754,0.89004,0.000496,0.000496,0.000496
98,5179.37,0.87633,0.43296,1.00763,0.932,0.93756,0.96378,0.79075,0.67418,0.3771,0.89017,0.000397,0.000397,0.000397
99,5232.1,0.87159,0.43134,1.00448,0.93017,0.93878,0.96521,0.79359,0.67496,0.3782,0.89034,0.000298,0.000298,0.000298
100,5284.25,0.86604,0.43034,0.99779,0.9293,0.93961,0.96504,0.79508,0.67579,0.3778,0.89046,0.000199,0.000199,0.000199
