epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,697.229,1.10594,0.54249,1.26653,0.9362,0.96611,0.97351,0.76513,0.86845,0.48241,1.2093,0.00073025,0.00073025,0.00073025
44,713.026,1.11069,0.54036,1.28456,0.93524,0.94616,0.97613,0.77014,0.87559,0.47165,1.21153,0.000717875,0.000717875,0.000717875
45,728.73,1.12096,0.55757,1.29593,0.95384,0.94123,0.97697,0.75975,0.89745,0.4682,1.22551,0.0007055,0.0007055,0.0007055
46,744.445,1.08486,0.53127,1.26603,0.95143,0.95633,0.97597,0.76816,0.89348,0.44896,1.22429,0.000693125,0.000693125,0.000693125
47,760.208,1.06853,0.51951,1.25582,0.94346,0.96464,0.98018,0.77441,0.83884,0.45739,1.18411,0.00068075,0.00068075,0.00068075
48,776.004,1.09213,0.52622,1.2679,0.94032,0.97716,0.98254,0.77374,0.89782,0.46466,1.22118,0.000668375,0.000668375,0.000668375
49,791.749,1.06821,0.52873,1.26481,0.95021,0.96116,0.97592,0.76293,0.89182,0.44491,1.21673,0.000656,0.000656,0.000656
50,807.478,1.07566,0.51986,1.26072,0.94715,0.96135,0.98248,0.7652,0.88746,0.45366,1.2135,0.000643625,0.000643625,0.000643625
51,823.246,1.08218,0.52916,1.25337,0.96064,0.96968,0.98455,0.77267,0.86349,0.43233,1.20752,0.00063125,0.00063125,0.00063125
52,838.936,1.051,0.53325,1.25228,0.95719,0.95623,0.97809,0.78002,0.8483,0.43348,1.19181,0.000618875,0.000618875,0.000618875
53,854.745,1.06804,0.52721,1.26828,0.95591,0.97489,0.98335,0.75612,0.95381,0.45986,1.24959,0.0006065,0.0006065,0.0006065
54,870.486,1.03961,0.53778,1.23636,0.94551,0.96028,0.98003,0.78262,0.8571,0.43713,1.19007,0.000594125,0.000594125,0.000594125
55,886.687,1.0347,0.50693,1.22936,0.94613,0.97334,0.9736,0.78637,0.84211,0.42721,1.18723,0.00058175,0.00058175,0.00058175
56,903.916,1.03189,0.49916,1.23281,0.96146,0.96448,0.97941,0.7731,0.88419,0.43341,1.19538,0.000569375,0.000569375,0.000569375
57,921.042,1.00138,0.51125,1.21233,0.94599,0.97103,0.98434,0.78025,0.86406,0.42201,1.18655,0.000557,0.000557,0.000557
58,937.889,1.03472,0.50344,1.23849,0.96729,0.95233,0.98086,0.77196,0.85431,0.42991,1.18538,0.000544625,0.000544625,0.000544625
59,956.039,1.03029,0.48703,1.22386,0.95751,0.97445,0.98254,0.78036,0.86053,0.4276,1.17749,0.00053225,0.00053225,0.00053225
60,972.86,0.98979,0.61439,1.18555,0.97796,0.96719,0.97933,0.77734,0.88311,0.41152,1.1917,0.000519875,0.000519875,0.000519875
61,990.062,0.98864,0.47557,1.19675,0.96698,0.96775,0.97977,0.78602,0.84323,0.4038,1.17187,0.0005075,0.0005075,0.0005075
62,1007.92,1.00057,0.48049,1.20931,0.96606,0.96186,0.98655,0.79375,0.8228,0.39881,1.16395,0.000495125,0.000495125,0.000495125
63,1028.73,0.99066,0.48318,1.21045,0.9607,0.9624,0.9867,0.7955,0.83952,0.40733,1.18332,0.00048275,0.00048275,0.00048275
64,1054.98,0.97478,0.47275,1.19336,0.97278,0.97107,0.98534,0.79222,0.83515,0.40141,1.18497,0.000470375,0.000470375,0.000470375
65,1072,1.01075,0.47826,1.21465,0.96792,0.96765,0.98293,0.79739,0.82482,0.39616,1.15902,0.000458,0.000458,0.000458
66,1088.04,0.97962,0.46791,1.19076,0.96756,0.96968,0.98615,0.80225,0.80588,0.39326,1.15197,0.000445625,0.000445625,0.000445625
67,1104.34,0.96673,0.46803,1.20096,0.96366,0.97275,0.98661,0.79811,0.80954,0.39345,1.15534,0.00043325,0.00043325,0.00043325
68,1120.26,0.94507,0.45529,1.19055,0.976,0.96432,0.9787,0.79964,0.81271,0.38742,1.14849,0.000420875,0.000420875,0.000420875
69,1136.69,0.95603,0.47796,1.19041,0.96443,0.96624,0.97939,0.79753,0.81556,0.39642,1.15861,0.0004085,0.0004085,0.0004085
70,1153.05,0.93707,0.45463,1.17289,0.96146,0.97158,0.97846,0.7864,0.81823,0.41211,1.15112,0.000396125,0.000396125,0.000396125
71,1169.57,0.94351,0.45749,1.17936,0.96438,0.95754,0.97942,0.80436,0.79212,0.39837,1.13934,0.00038375,0.00038375,0.00038375
