epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5529,3.08907,5.02078,2.52874,0.49871,0.31299,0.24675,0.13134,1.5507,2.34605,1.17376,0.0033286,0.0033286,0.0033286
2,173.951,1.53202,2.34649,1.23637,0.43649,0.59911,0.45708,0.28143,1.32042,1.74258,1.04275,0.00659598,0.00659598,0.00659598
3,254.117,1.37491,1.90803,1.12575,0.42223,0.69582,0.59251,0.4118,1.02037,1.53731,0.94657,0.00979736,0.00979736,0.00979736
4,333.34,1.23878,1.54858,1.06696,0.58984,0.72837,0.67826,0.45737,1.11218,1.13796,0.95754,0.009703,0.009703,0.009703
5,412.871,1.14692,1.27174,1.02337,0.68894,0.74983,0.75206,0.49969,1.09337,0.95894,0.94724,0.009604,0.009604,0.009604
6,492.593,1.106,1.06259,1.00728,0.73251,0.79797,0.80983,0.5881,0.9974,0.81888,0.92295,0.009505,0.009505,0.009505
7,572.762,1.07715,0.92747,0.98816,0.79699,0.85757,0.86244,0.62274,0.97056,0.69387,0.91476,0.009406,0.009406,0.009406
8,653.054,1.04258,0.85264,0.97879,0.80837,0.84182,0.85868,0.60995,1.00849,0.66278,0.92512,0.009307,0.009307,0.009307
9,733.37,1.02434,0.8094,0.976,0.86773,0.73338,0.83646,0.62769,0.89971,0.70536,0.89595,0.009208,0.009208,0.009208
10,814.023,1.00815,0.76723,0.96519,0.78415,0.86948,0.88029,0.67759,0.80162,0.5775,0.87173,0.009109,0.009109,0.009109
11,894.48,0.98975,0.73791,0.96125,0.82818,0.89557,0.91091,0.67725,0.8578,0.55652,0.88132,0.00901,0.00901,0.00901
12,974.852,0.98789,0.721,0.95876,0.83036,0.86464,0.90142,0.66932,0.88368,0.56688,0.88854,0.008911,0.008911,0.008911
13,1055.69,0.96596,0.69585,0.95602,0.82757,0.90265,0.90351,0.67002,0.88503,0.54089,0.89021,0.008812,0.008812,0.008812
14,1136.44,0.95631,0.67871,0.95173,0.84045,0.85489,0.91639,0.69497,0.84074,0.54936,0.87908,0.008713,0.008713,0.008713
15,1217.41,0.95651,0.6679,0.94867,0.82218,0.90019,0.90267,0.67908,0.83145,0.53724,0.87592,0.008614,0.008614,0.008614
16,1298.6,0.94733,0.65518,0.94575,0.84161,0.9247,0.90141,0.68419,0.83919,0.51074,0.87825,0.008515,0.008515,0.008515
17,1378.88,0.94366,0.64909,0.9475,0.82924,0.91175,0.90643,0.67902,0.82904,0.51149,0.87358,0.008416,0.008416,0.008416
18,1459.95,0.93704,0.63637,0.94478,0.86911,0.89543,0.9307,0.70491,0.79461,0.49068,0.86577,0.008317,0.008317,0.008317
19,1541,0.92191,0.61477,0.93925,0.84919,0.90882,0.92274,0.70529,0.83055,0.52799,0.87194,0.008218,0.008218,0.008218
20,1622.03,0.92511,0.61603,0.93782,0.83957,0.94185,0.90714,0.68218,0.82657,0.48093,0.8732,0.008119,0.008119,0.008119
21,1702.62,0.91515,0.60316,0.9372,0.87598,0.93435,0.92779,0.70515,0.78078,0.45543,0.86251,0.00802,0.00802,0.00802
22,1783.75,0.91175,0.59649,0.93368,0.85854,0.93286,0.91823,0.6965,0.80771,0.46593,0.8681,0.007921,0.007921,0.007921
23,1864.6,0.90709,0.5949,0.93215,0.84785,0.93952,0.92396,0.69952,0.79744,0.45343,0.8661,0.007822,0.007822,0.007822
24,1945.51,0.90504,0.58945,0.93588,0.84031,0.94949,0.93104,0.71355,0.78265,0.4455,0.85998,0.007723,0.007723,0.007723
25,2026.16,0.90272,0.57452,0.9314,0.87128,0.94429,0.93852,0.71459,0.80822,0.45714,0.868,0.007624,0.007624,0.007624
26,2106.36,0.89718,0.56965,0.92803,0.86111,0.91811,0.92895,0.71448,0.76552,0.44268,0.85847,0.007525,0.007525,0.007525
27,2187.43,0.89172,0.5705,0.92852,0.86321,0.92877,0.93021,0.72368,0.76008,0.45619,0.85719,0.007426,0.007426,0.007426
28,2268.17,0.88697,0.56135,0.92476,0.8814,0.92603,0.92698,0.70668,0.75532,0.42654,0.85826,0.007327,0.007327,0.007327
29,2348.89,0.88625,0.55974,0.92514,0.88143,0.91202,0.92704,0.72321,0.76169,0.44218,0.85436,0.007228,0.007228,0.007228
30,2429.41,0.88073,0.55167,0.92419,0.87436,0.93131,0.93505,0.71258,0.78083,0.43253,0.85985,0.007129,0.007129,0.007129
31,2510.59,0.88424,0.54458,0.92419,0.87725,0.94454,0.93887,0.71616,0.75611,0.43429,0.85603,0.00703,0.00703,0.00703
32,2591.2,0.87927,0.54494,0.92338,0.84618,0.94514,0.92963,0.72116,0.75098,0.42289,0.8533,0.006931,0.006931,0.006931
33,2671.3,0.8759,0.541,0.92356,0.89195,0.93693,0.94441,0.7372,0.73156,0.42201,0.84681,0.006832,0.006832,0.006832
34,2751.9,0.87093,0.53957,0.92093,0.89703,0.91992,0.94091,0.72785,0.75595,0.42999,0.8519,0.006733,0.006733,0.006733
35,2832.54,0.85969,0.52761,0.91848,0.89917,0.90728,0.92803,0.72046,0.75786,0.42373,0.8548,0.006634,0.006634,0.006634
36,2913.69,0.86555,0.52763,0.91859,0.88215,0.93436,0.93648,0.73134,0.75323,0.41156,0.85307,0.006535,0.006535,0.006535
37,2994.22,0.85845,0.52379,0.91867,0.8603,0.94306,0.93546,0.72532,0.7513,0.41221,0.85178,0.006436,0.006436,0.006436
38,3074.63,0.85726,0.51952,0.91784,0.87882,0.93562,0.94288,0.73654,0.74956,0.41424,0.8518,0.006337,0.006337,0.006337
39,3154.1,0.85827,0.522,0.91948,0.8804,0.94432,0.94254,0.73369,0.76108,0.40745,0.85413,0.006238,0.006238,0.006238
