epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15579,0.87488,0.42783,1.05172,0.96674,0.97678,0.98212,0.83649,0.95169,0.50023,1.33662,0.000742625,0.000742625,0.000742625
43,15903.7,0.86257,0.42335,1.03928,0.96376,0.9723,0.97893,0.82091,0.93671,0.49806,1.35562,0.00073025,0.00073025,0.00073025
44,16264.2,0.85989,0.41951,1.0383,0.9394,0.98919,0.98174,0.83396,0.86457,0.51212,1.30852,0.000717875,0.000717875,0.000717875
45,16583.3,0.85395,0.41537,1.03797,0.95621,0.97677,0.9765,0.8293,0.97353,0.56042,1.36353,0.0007055,0.0007055,0.0007055
46,16958.6,0.85339,0.41533,1.03781,0.95322,0.98087,0.9776,0.83422,0.92095,0.4828,1.32569,0.000693125,0.000693125,0.000693125
47,17278.8,0.85934,0.41626,1.0453,0.95959,0.97908,0.98072,0.82749,0.91314,0.47358,1.29406,0.00068075,0.00068075,0.00068075
48,17621.6,0.84408,0.41071,1.03686,0.96392,0.97581,0.98473,0.83854,0.88686,0.48924,1.30693,0.000668375,0.000668375,0.000668375
49,18008.4,0.84219,0.40935,1.03155,0.96726,0.96305,0.98046,0.84457,0.88114,0.47351,1.27963,0.000656,0.000656,0.000656
50,18368,0.83563,0.40703,1.02599,0.95979,0.97497,0.98016,0.82992,0.90148,0.47816,1.28597,0.000643625,0.000643625,0.000643625
51,18716.8,0.83511,0.40426,1.02354,0.96708,0.98211,0.98357,0.84283,0.87578,0.47251,1.33558,0.00063125,0.00063125,0.00063125
52,19141.1,0.83889,0.40487,1.0298,0.94947,0.96951,0.97675,0.83333,0.85786,0.50224,1.26654,0.000618875,0.000618875,0.000618875
53,19512.8,0.83203,0.40145,1.02877,0.96825,0.96566,0.9774,0.8268,0.88927,0.45975,1.29456,0.0006065,0.0006065,0.0006065
54,19915.3,0.82601,0.39811,1.02452,0.96091,0.97498,0.982,0.83911,0.8887,0.48522,1.35159,0.000594125,0.000594125,0.000594125
55,20306.1,0.81953,0.39481,1.02462,0.96192,0.97977,0.97879,0.84576,0.86305,0.48852,1.2899,0.00058175,0.00058175,0.00058175
56,20678.8,0.81935,0.39338,1.0168,0.95823,0.98393,0.98856,0.84488,0.87359,0.48512,1.31904,0.000569375,0.000569375,0.000569375
57,21051.1,0.80899,0.39261,1.02025,0.94689,0.98165,0.98196,0.8426,0.90494,0.51386,1.32627,0.000557,0.000557,0.000557
58,21410.5,0.81207,0.38931,1.01768,0.96938,0.98374,0.98395,0.84902,0.8249,0.47956,1.26024,0.000544625,0.000544625,0.000544625
59,21747,0.81135,0.38721,1.01731,0.96252,0.97727,0.97934,0.84448,0.89512,0.46289,1.31624,0.00053225,0.00053225,0.00053225
60,22103.6,0.79777,0.38404,1.00823,0.96833,0.97563,0.97996,0.84742,0.83249,0.47202,1.27002,0.000519875,0.000519875,0.000519875
61,22439.8,0.79907,0.38651,1.01031,0.9742,0.98196,0.98628,0.84977,0.85031,0.44868,1.24871,0.0005075,0.0005075,0.0005075
62,22851.8,0.79592,0.38041,1.00839,0.96627,0.98471,0.98055,0.84965,0.86947,0.46424,1.286,0.000495125,0.000495125,0.000495125
63,23220.4,0.80341,0.38355,1.02034,0.96429,0.97307,0.98052,0.85711,0.82722,0.48348,1.24263,0.00048275,0.00048275,0.00048275
64,23601.8,0.7904,0.37696,1.01056,0.95622,0.97058,0.97394,0.84943,0.86214,0.45725,1.27904,0.000470375,0.000470375,0.000470375
65,23926.5,0.78515,0.3763,1.00379,0.96409,0.97716,0.98691,0.85966,0.85179,0.45953,1.27795,0.000458,0.000458,0.000458
66,24359.9,0.78173,0.37578,1.00595,0.96008,0.98959,0.9811,0.85543,0.84723,0.47834,1.26285,0.000445625,0.000445625,0.000445625
67,24693.7,0.77638,0.37131,1.00233,0.97101,0.98559,0.986,0.85696,0.88767,0.47057,1.30153,0.00043325,0.00043325,0.00043325
68,25037.1,0.77779,0.37171,1.0017,0.96844,0.9841,0.98249,0.85268,0.86667,0.46231,1.29076,0.000420875,0.000420875,0.000420875
69,25376.5,0.77614,0.3695,0.99672,0.96735,0.98491,0.98251,0.84779,0.86181,0.46095,1.27719,0.0004085,0.0004085,0.0004085
70,25772.5,0.77041,0.36973,0.99719,0.97086,0.97041,0.98187,0.85403,0.84259,0.46265,1.30343,0.000396125,0.000396125,0.000396125
71,26112.7,0.76575,0.36411,0.99496,0.96869,0.97143,0.98071,0.85796,0.88115,0.46092,1.33144,0.00038375,0.00038375,0.00038375
72,26475.1,0.76851,0.36828,1.00399,0.96733,0.98317,0.98052,0.85892,0.87971,0.44307,1.28896,0.000371375,0.000371375,0.000371375
73,26841.6,0.75939,0.36292,0.98841,0.97275,0.97886,0.98913,0.86449,0.8674,0.4545,1.29198,0.000359,0.000359,0.000359
74,27215.8,0.75648,0.36365,0.99087,0.96634,0.97705,0.988,0.86491,0.87221,0.47151,1.32456,0.000346625,0.000346625,0.000346625
75,27610.9,0.75509,0.36153,0.98897,0.97856,0.97423,0.9892,0.8726,0.85809,0.46226,1.29716,0.00033425,0.00033425,0.00033425
76,27975.2,0.75001,0.35778,0.98529,0.96478,0.97467,0.98029,0.8593,0.87248,0.44985,1.29339,0.000321875,0.000321875,0.000321875
77,28318.5,0.74569,0.35749,0.98786,0.95802,0.9757,0.98079,0.86226,0.84443,0.45868,1.28022,0.0003095,0.0003095,0.0003095
78,28657.8,0.75112,0.35912,0.99072,0.96218,0.98383,0.97821,0.86009,0.79025,0.45747,1.22549,0.000297125,0.000297125,0.000297125
79,29012.5,0.74203,0.35546,0.98709,0.96514,0.986,0.98439,0.86101,0.80707,0.43728,1.22814,0.00028475,0.00028475,0.00028475
80,29411.2,0.74193,0.35907,0.98563,0.96778,0.97787,0.98029,0.85984,0.83069,0.46049,1.26486,0.000272375,0.000272375,0.000272375
