epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,612.051,3.81047,3.09646,3.80205,0,0,0,0,4.60726,4.3687,4.1624,0.000408497,0.000408497,0.000408497
2,1087.39,2.48848,1.76315,2.81162,0.35665,0.56899,0.36538,0.17134,2.29987,2.37338,2.61094,0.000816994,0.000816994,0.000816994
3,1588.76,2.15571,1.47964,2.30573,0.30717,0.63468,0.46058,0.18994,2.22926,2.71568,2.33555,0.00121724,0.00121724,0.00121724
4,2125.57,2.00603,1.39991,2.1322,0.62155,0.42366,0.53054,0.2807,1.79831,1.55886,2.04728,0.00121287,0.00121287,0.00121287
5,2495.71,1.84176,1.24112,1.93497,0.55732,0.46027,0.51094,0.21598,2.46724,1.6049,2.32955,0.0012005,0.0012005,0.0012005
6,2881.77,1.73306,1.1648,1.84009,0.77058,0.68149,0.78322,0.39949,1.79625,1.18064,1.86959,0.00118812,0.00118812,0.00118812
7,3383.13,1.67645,1.10986,1.76259,0.69086,0.66216,0.71918,0.46022,1.35045,1.3005,1.64223,0.00117575,0.00117575,0.00117575
8,3728.85,1.63931,1.09019,1.73794,0.74757,0.71011,0.77516,0.48826,1.31831,1.1435,1.6587,0.00116337,0.00116337,0.00116337
9,4135.07,1.59519,1.03063,1.65969,0.81314,0.75621,0.86083,0.54841,1.29314,1.02785,1.58654,0.001151,0.001151,0.001151
10,4527.07,1.54533,0.99631,1.63974,0.84735,0.7605,0.85254,0.51521,1.46382,0.99983,1.62263,0.00113863,0.00113863,0.00113863
11,4857.48,1.53206,0.9346,1.59603,0.82999,0.74807,0.8709,0.51584,1.46496,1.06771,1.64141,0.00112625,0.00112625,0.00112625
12,5184.39,1.51224,0.92759,1.58988,0.77501,0.78885,0.85912,0.53657,1.37723,0.95539,1.58256,0.00111388,0.00111388,0.00111388
13,5527.55,1.48746,0.91295,1.57423,0.86997,0.80844,0.89826,0.60285,1.24114,0.91558,1.54101,0.0011015,0.0011015,0.0011015
14,5870.46,1.4335,0.87096,1.54901,0.78545,0.86819,0.90151,0.60431,1.23701,0.87402,1.4832,0.00108913,0.00108913,0.00108913
15,6223.37,1.41232,0.81929,1.49787,0.8616,0.83827,0.91373,0.642,1.13682,0.88872,1.46612,0.00107675,0.00107675,0.00107675
16,6687.7,1.42543,0.81916,1.50593,0.83264,0.86089,0.91965,0.63475,1.12882,0.79823,1.42052,0.00106437,0.00106437,0.00106437
17,7118.19,1.37415,0.79604,1.4823,0.8734,0.88999,0.93699,0.59054,1.39764,0.81904,1.53435,0.001052,0.001052,0.001052
18,7493.99,1.36477,0.77615,1.46682,0.89418,0.93152,0.95141,0.60897,1.28211,0.77846,1.46278,0.00103962,0.00103962,0.00103962
19,7952.4,1.35,0.77168,1.45741,0.8882,0.91332,0.95074,0.60621,1.32167,0.76957,1.45766,0.00102725,0.00102725,0.00102725
20,8426.77,1.343,0.75783,1.44457,0.87066,0.79473,0.92406,0.56112,1.442,0.84938,1.54152,0.00101488,0.00101488,0.00101488
21,8766.88,1.3792,0.76355,1.47476,0.88497,0.88027,0.94226,0.56434,1.44846,0.75317,1.533,0.0010025,0.0010025,0.0010025
22,9165.34,1.3315,0.71211,1.40848,0.90147,0.91945,0.96618,0.65431,1.19186,0.71124,1.40522,0.000990125,0.000990125,0.000990125
23,9629.64,1.32613,0.70183,1.43313,0.87111,0.94467,0.96093,0.68569,1.07602,0.62432,1.32563,0.00097775,0.00097775,0.00097775
24,10280,1.31396,0.69266,1.42415,0.91564,0.92501,0.95155,0.65758,1.20715,0.6665,1.39623,0.000965375,0.000965375,0.000965375
25,10726.9,1.27403,0.67352,1.39934,0.91201,0.87213,0.94298,0.61548,1.34491,0.71179,1.49234,0.000953,0.000953,0.000953
26,11032.7,1.28168,0.66995,1.39972,0.91589,0.94253,0.95841,0.68726,1.10212,0.61461,1.33292,0.000940625,0.000940625,0.000940625
27,11465.4,1.26601,0.65475,1.39626,0.89024,0.89581,0.9417,0.62264,1.222,0.6587,1.4122,0.00092825,0.00092825,0.00092825
28,11889.8,1.25609,0.65317,1.38093,0.91084,0.94462,0.96763,0.69318,1.09705,0.59219,1.33578,0.000915875,0.000915875,0.000915875
29,12345.7,1.2517,0.64293,1.38259,0.91759,0.87263,0.94601,0.62593,1.23542,0.64152,1.40108,0.0009035,0.0009035,0.0009035
30,12730.2,1.23317,0.63961,1.37151,0.91627,0.93932,0.95438,0.56645,1.55155,0.67484,1.56308,0.000891125,0.000891125,0.000891125
31,13116.8,1.23171,0.6209,1.35294,0.88581,0.95944,0.96286,0.67278,1.16533,0.62726,1.36006,0.00087875,0.00087875,0.00087875
32,13608.2,1.22882,0.63447,1.3784,0.93184,0.96035,0.97396,0.75364,0.94427,0.53266,1.26804,0.000866375,0.000866375,0.000866375
33,13990.8,1.21092,0.61115,1.34269,0.94342,0.94672,0.97363,0.7464,0.97197,0.51891,1.26694,0.000854,0.000854,0.000854
34,14359.8,1.25286,0.82006,1.38585,0.94898,0.95943,0.97114,0.7142,1.02525,0.54787,1.28643,0.000841625,0.000841625,0.000841625
35,14722.1,1.19139,0.61265,1.34309,0.9087,0.94597,0.96903,0.70755,1.02091,0.55445,1.3045,0.00082925,0.00082925,0.00082925
36,15209.1,1.18186,0.60323,1.33521,0.93732,0.94314,0.96908,0.7428,0.96642,0.54864,1.2743,0.000816875,0.000816875,0.000816875
37,15586.7,1.1619,0.58805,1.31222,0.92846,0.96553,0.97902,0.74007,0.98261,0.52032,1.27792,0.0008045,0.0008045,0.0008045
38,16022,1.15695,0.57062,1.3122,0.92623,0.95632,0.97812,0.7503,0.91886,0.5031,1.24345,0.000792125,0.000792125,0.000792125
39,16580.4,1.15565,0.56941,1.31938,0.95102,0.97766,0.97861,0.74199,0.96906,0.49238,1.26405,0.00077975,0.00077975,0.00077975
40,17025.3,1.16224,0.56697,1.31901,0.93813,0.9074,0.97768,0.72483,1.01289,0.52886,1.27107,0.000767375,0.000767375,0.000767375
41,17414.8,1.1748,0.56609,1.29622,0.95044,0.96449,0.98327,0.70253,1.11106,0.51282,1.32475,0.000755,0.000755,0.000755
42,17833.1,1.14672,0.5616,1.31376,0.95751,0.9274,0.98185,0.77952,0.88116,0.47596,1.20692,0.000742625,0.000742625,0.000742625
43,18195.7,1.13003,0.55857,1.27785,0.9484,0.9638,0.98003,0.76938,0.87933,0.46112,1.21905,0.00073025,0.00073025,0.00073025
44,18772.6,1.12673,0.55322,1.29435,0.96112,0.9347,0.9799,0.75271,0.94685,0.47294,1.2402,0.000717875,0.000717875,0.000717875
45,19227,1.12834,0.56283,1.30013,0.93873,0.96265,0.97699,0.74552,0.94538,0.47356,1.25309,0.0007055,0.0007055,0.0007055
46,19537.4,1.10163,0.53933,1.27594,0.94579,0.95924,0.98084,0.77289,0.89107,0.45295,1.21064,0.000693125,0.000693125,0.000693125
47,19964,1.08,0.52406,1.25968,0.95571,0.95655,0.98279,0.77493,0.87652,0.44118,1.19898,0.00068075,0.00068075,0.00068075
48,20379.9,1.09729,0.53359,1.27135,0.96179,0.96169,0.97986,0.73965,1.00849,0.48021,1.26572,0.000668375,0.000668375,0.000668375
49,20773.5,1.07768,0.52913,1.26881,0.95002,0.95601,0.98283,0.77697,0.88211,0.43625,1.21792,0.000656,0.000656,0.000656
50,21218.8,1.07887,0.52487,1.26134,0.9422,0.97318,0.98216,0.76793,0.90832,0.4456,1.21345,0.000643625,0.000643625,0.000643625
51,21691.4,1.08499,0.53004,1.25344,0.95611,0.9603,0.98402,0.69328,1.09914,0.48877,1.31383,0.00063125,0.00063125,0.00063125
52,22090.9,1.06477,0.53437,1.25922,0.97315,0.93195,0.9789,0.77213,0.85303,0.4354,1.19836,0.000618875,0.000618875,0.000618875
53,22505.1,1.06662,0.52716,1.26393,0.94587,0.94969,0.97936,0.74585,0.96874,0.48669,1.25992,0.0006065,0.0006065,0.0006065
54,22970.4,1.05803,0.53954,1.24613,0.95394,0.9571,0.98105,0.76862,0.90864,0.44467,1.22026,0.000594125,0.000594125,0.000594125
55,23523.4,1.0486,0.50899,1.23732,0.94172,0.97413,0.98201,0.7854,0.83471,0.42671,1.18314,0.00058175,0.00058175,0.00058175
56,23880.8,1.03627,0.50141,1.23662,0.94302,0.9725,0.98246,0.76548,0.88143,0.43805,1.19845,0.000569375,0.000569375,0.000569375
57,24262,1.01331,0.5191,1.21722,0.93828,0.97738,0.98652,0.77942,0.87724,0.41696,1.19691,0.000557,0.000557,0.000557
58,24610.4,1.04393,0.50714,1.24276,0.93848,0.9822,0.98402,0.775,0.88588,0.41988,1.20823,0.000544625,0.000544625,0.000544625
59,24976.1,1.03993,0.49048,1.22972,0.94379,0.9605,0.9823,0.76442,0.91906,0.44152,1.21706,0.00053225,0.00053225,0.00053225
60,25449.2,1.00534,0.69195,1.19505,0.96519,0.95434,0.9792,0.7755,0.86271,0.41965,1.19605,0.000519875,0.000519875,0.000519875
61,25892.9,0.99602,0.48312,1.2035,0.9751,0.95679,0.97969,0.78823,0.83365,0.41613,1.17926,0.0005075,0.0005075,0.0005075
62,26306.9,0.99701,0.47967,1.20798,0.95818,0.9717,0.98439,0.79222,0.82995,0.39953,1.17926,0.000495125,0.000495125,0.000495125
63,26765.7,0.9968,0.48442,1.21483,0.94009,0.98688,0.98618,0.79417,0.84868,0.41611,1.18766,0.00048275,0.00048275,0.00048275
64,27210.3,0.97996,0.47819,1.19762,0.94291,0.97419,0.98414,0.78645,0.83717,0.41564,1.17653,0.000470375,0.000470375,0.000470375
65,27601.6,1.01177,0.48142,1.21238,0.96156,0.96088,0.97977,0.79199,0.83469,0.42551,1.16728,0.000458,0.000458,0.000458
66,28000.4,0.98316,0.47073,1.19349,0.95182,0.97137,0.98468,0.78143,0.84758,0.4142,1.18337,0.000445625,0.000445625,0.000445625
67,28347.9,0.97601,0.46988,1.20443,0.95263,0.97442,0.98551,0.79778,0.82665,0.40136,1.16926,0.00043325,0.00043325,0.00043325
68,28723.5,0.9595,0.46062,1.1989,0.95927,0.97209,0.98505,0.80865,0.79812,0.39154,1.15502,0.000420875,0.000420875,0.000420875
69,29178.2,0.96355,0.47869,1.19697,0.96166,0.95882,0.98656,0.79428,0.83162,0.40264,1.16929,0.0004085,0.0004085,0.0004085
70,29479.5,0.94646,0.45661,1.17872,0.95759,0.97689,0.98493,0.79576,0.81754,0.38851,1.15585,0.000396125,0.000396125,0.000396125
71,29910.3,0.94885,0.45885,1.18238,0.959,0.9718,0.98275,0.79626,0.79402,0.39477,1.15095,0.00038375,0.00038375,0.00038375
72,30359.1,0.95226,0.46223,1.18671,0.95838,0.97534,0.98273,0.80308,0.79603,0.38029,1.15016,0.000371375,0.000371375,0.000371375
73,30833.5,0.94488,0.4503,1.18554,0.96305,0.97473,0.98507,0.79785,0.82709,0.39392,1.16403,0.000359,0.000359,0.000359
74,31161.2,0.90633,0.98506,1.14006,0.95379,0.97887,0.98603,0.80478,0.80913,0.39235,1.14841,0.000346625,0.000346625,0.000346625
75,31672.6,0.91988,0.44915,1.16652,0.95382,0.97023,0.98707,0.80384,0.80494,0.39172,1.15498,0.00033425,0.00033425,0.00033425
76,32058.5,0.90809,0.44534,1.16622,0.96435,0.96945,0.98353,0.80243,0.80269,0.39476,1.14774,0.000321875,0.000321875,0.000321875
77,32371,0.93206,0.45361,1.19223,0.96966,0.96117,0.98528,0.79529,0.83563,0.39034,1.16111,0.0003095,0.0003095,0.0003095
78,32722.2,0.91571,0.44239,1.16196,0.96795,0.96507,0.98534,0.78761,0.8287,0.38307,1.16081,0.000297125,0.000297125,0.000297125
79,33207.5,0.91421,0.43827,1.16481,0.9655,0.97222,0.98857,0.80545,0.83215,0.38767,1.15886,0.00028475,0.00028475,0.00028475
80,33643.4,0.92752,0.44621,1.17345,0.96188,0.97267,0.98909,0.8011,0.80668,0.37256,1.14906,0.000272375,0.000272375,0.000272375
81,34049.4,0.92524,0.44191,1.17505,0.96726,0.96724,0.98621,0.81005,0.79676,0.37613,1.14286,0.00026,0.00026,0.00026
82,34456.4,0.90471,0.43577,1.16246,0.96845,0.96377,0.98726,0.7979,0.82327,0.37659,1.15431,0.000247625,0.000247625,0.000247625
83,34928.5,0.88691,0.42854,1.14791,0.96147,0.97071,0.98422,0.8068,0.78238,0.37287,1.13796,0.00023525,0.00023525,0.00023525
84,35419.9,0.88711,0.43523,1.14914,0.96751,0.97215,0.98044,0.81071,0.78991,0.3736,1.14044,0.000222875,0.000222875,0.000222875
85,35817.2,0.87993,0.42379,1.13596,0.95373,0.97852,0.98656,0.81057,0.79018,0.36567,1.14262,0.0002105,0.0002105,0.0002105
86,36147,0.88881,0.42529,1.14297,0.96268,0.97071,0.98442,0.80022,0.79046,0.36849,1.14339,0.000198125,0.000198125,0.000198125
87,36653.6,0.87071,0.42207,1.12954,0.96927,0.97071,0.98322,0.79891,0.80532,0.36566,1.14829,0.00018575,0.00018575,0.00018575
88,37208,0.86885,0.41987,1.12803,0.96733,0.97348,0.98332,0.81142,0.78228,0.37348,1.13312,0.000173375,0.000173375,0.000173375
89,37572.7,0.87725,0.43743,1.13981,0.9694,0.97058,0.98369,0.81391,0.77214,0.36539,1.13013,0.000161,0.000161,0.000161
90,37846.8,0.87517,0.43741,1.14435,0.96372,0.96724,0.98304,0.80752,0.78608,0.36931,1.1341,0.000148625,0.000148625,0.000148625
91,38347.2,0.83467,0.39733,1.18634,0.96536,0.96547,0.98514,0.81018,0.78017,0.37285,1.13616,0.00013625,0.00013625,0.00013625
92,38756.5,0.8061,0.37819,1.1675,0.96571,0.97419,0.98469,0.81301,0.77259,0.36423,1.12865,0.000123875,0.000123875,0.000123875
93,39194.2,0.80418,0.3806,1.15102,0.96395,0.97122,0.98222,0.8085,0.7802,0.36969,1.13343,0.0001115,0.0001115,0.0001115
94,39535.3,0.78322,0.3705,1.14177,0.96222,0.97766,0.9843,0.81251,0.78362,0.36447,1.13734,9.9125e-05,9.9125e-05,9.9125e-05
95,39818.4,0.79254,0.36963,1.13628,0.96404,0.97766,0.98311,0.80281,0.80522,0.36862,1.14804,8.675e-05,8.675e-05,8.675e-05
96,40282.8,0.77992,0.36665,1.1423,0.96203,0.97766,0.98755,0.80777,0.81107,0.36259,1.15378,7.4375e-05,7.4375e-05,7.4375e-05
97,40556,0.77068,0.3746,1.13929,0.96032,0.97766,0.9859,0.8121,0.79207,0.3637,1.13889,6.2e-05,6.2e-05,6.2e-05
98,40973,0.7784,0.36345,1.1367,0.96515,0.97465,0.98639,0.81481,0.79763,0.36016,1.13628,4.9625e-05,4.9625e-05,4.9625e-05
99,41327,0.80232,0.40591,1.1795,0.97187,0.97048,0.98534,0.81593,0.7749,0.35621,1.13071,3.725e-05,3.725e-05,3.725e-05
100,41678.4,0.75644,0.35614,1.14329,0.96397,0.96936,0.98568,0.82039,0.78065,0.35708,1.12937,2.4875e-05,2.4875e-05,2.4875e-05
